"id","product_name","product_sku"
"349","Shower Wall Panels","HBWB"
"350","Low Profile Shower Pan Drain Cover","HBLPD"
"351","Test Product (don't delete it)","TEST-001"
"352","36"" x 36"" Shower Kit","HBSKIT3636"
"353","36"" x 48"" Shower Kit","HBSKIT3648"
"354","36"" x 60"" Shower Kit","HBSKIT3660"
"355","48"" x 48"" Shower Kit","HBSKIT4848"
"356","48"" x 60"" Shower Kit","HBSKIT4860"
"357","Mixing Valve Seal, 9¼"" Diameter, 4½"" Opening","HBVALVE"
"358","Pipe Seal, 7¼"" Diameter, ¾"" Opening","HBPIPESEAL"
"359"," 36"" x 100' x 1/4"" Uncoupling Membrane","HBUNCOUP14"
"360","36"" x 100' x 1/8"" Uncoupling Membrane ","HBUNCOUIP18"
