"id";"title";"description";"street";"city";"state";"postal_code";"country";"lat";"lng";"phone";"fax";"email";"website";"description_2";"logo_id";"marker_id";"is_disabled";"open_hours";"created_on";"updated_on";"ordr";"featured";"brand";"product";"pending";"slug";"custom"
"15";"Daltile San Leandro";"not available";"2311 Merced Street";"San Leandro";"CA";"94577";"223";"37.7070005";"-122.1704363";"510-895-9006";;;"https://www.hydroblok.com/find-a-dealer/daltile-san-leandro/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 05:02:15";"0";NULL;NULL;NULL;NULL;"daltile-san-leandro-san-leandro";NULL
"16";"Daltile Seattle";"not available";"540 S. Front St.";"Seattle";"WA";"98108";"223";"47.5484649";"-122.3270445";"206-762-6620";;;"https://www.hydroblok.com/find-a-dealer/daltile-seattle/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:47:29";"0";NULL;NULL;NULL;NULL;"daltile-seattle-seattle";NULL
"17";"Daltile Spokane";"not available";"East 4000 Broadway";"Spokane";"WA";"99202";"223";"47.6639002";"-117.3511104";"509-534-0202";;;"https://www.hydroblok.com/find-a-dealer/daltile-spokane/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-21 03:30:45";"0";NULL;NULL;NULL;NULL;"daltile-spokane-spokane";NULL
"18";"Daltile Torrance";"not available";"18740 Crenshaw Blvd.";"Torrance";"CA";"90504";"223";"33.8603227";"-118.3265823";"310-323-4632";;;"https://www.hydroblok.com/find-a-dealer/daltile-torrance/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 05:03:41";"0";NULL;NULL;NULL;NULL;"daltile-torrance-torrance";NULL
"19";"Daltile Van Nuys";"not available";"16201 Stagg St.";"Van Nuys";"CA";"91406";"223";"34.2135115";"-118.4865522";"818-787-3224";;;"https://www.hydroblok.com/find-a-dealer/daltile-van-nuys/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 05:03:15";"0";NULL;NULL;NULL;NULL;"daltile-van-nuys-van-nuys";NULL
"23";"HPM Building Supply, Hilo HI";"not available";"380 Kanoelehua Avenue";"Hilo";"HI";"96720";"223";"19.7173297";"-155.0650201";"(808) 935-0875";;;"https://www.hydroblok.com/find-a-dealer/hpm-building-supply-hilo-home-design-center/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-21 20:07:15";"0";NULL;NULL;NULL;NULL;"hpm-building-supply-hilo-hi-hilo";NULL
"24";"HPM Building Supply, Kailua-Kona HI";"not available";"74-5511 Luhia Street";"Kailua-Kona";"HI";"96740";"223";"19.6501971";"-156.0028914";"(808) 334-4200";;;"https://www.hydroblok.com/find-a-dealer/hpm-building-supply-kona-retail-store-lumberyard/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-21 03:38:10";"0";NULL;NULL;NULL;NULL;"hpm-building-supply-kailua-kona-hi-kailua-kona";NULL
"25";"HPM Building Supply, Waimea HI";"not available";"64-1027 Mamalahoa Highway";"Kamuela";"HI";"96743";"223";"20.0246285";"-155.6582429";"(808) 885-6036";;;"https://www.hydroblok.com/find-a-dealer/hpm-building-supply-waimea-retail-store-lumberyard/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-21 20:10:45";"0";NULL;NULL;NULL;NULL;"hpm-building-supply-waimea-hi-kamuela";NULL
"27";"Lake Interiors";"not available";"66 Hwy. 150";"Chelan";"WA";"98816";"223";"47.8339052";"-119.9919665";"(509) 682-2301";NULL;NULL;"https://lakeinteriorschelan.com";NULL;"0";"1";NULL;"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"28";"Lynden Interiors";"not available";"2017 Front St";"Lynden";"WA";"98264";"223";"48.9386841";"-122.4864651";"360-354-4149";;;"https://www.hydroblok.com/find-a-dealer/lynden-interiors/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:38:49";"0";NULL;NULL;NULL;NULL;"lynden-interiors-lynden";NULL
"29";"Marazzi Tile & Stone";"not available";"9020 Activity Road Ste B";"San Diego";"CA";"92126";"223";"32.8964471";"-117.1326091";"858.547.8453";;;"https://www.hydroblok.com/find-a-dealer/marazzi-tile-stone/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 22:22:44";"0";NULL;NULL;NULL;NULL;"marazzi-tile-stone-san-diego";NULL
"30";"Sams Flooring Supplies Abbotsford";"not available";"#103 30755 Simpson Rd.";"Abbostford";"BC";"V2T 6X4";"38";"49.046398";"-122.3706777";"604-850-6477";;;"https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-abbotsford/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:34:56";"0";NULL;NULL;NULL;NULL;"sams-flooring-supplies-abbotsford-abbostford";NULL
"31";"Sams Flooring Supplies Chilliwack";"not available";"#B 8850 Young Rd.";"Chilliwack";"BC";"V2P 4P5";"38";"49.162958";"-121.952092";"604-795-6521";;;"https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-chilliwack/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-01-18 18:57:35";"0";NULL;NULL;NULL;NULL;"sams-flooring-supplies-chilliwack-chilliwack";NULL
"32";"Sams Flooring Supplies Kelowna";"not available";"#100 1516 Keehn Rd.";"Kelowna";"BC";"V1X 5T3";"38";"49.8911203";"-119.4155411";"250-860-8886";;;"https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-kelowna/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:35:34";"0";NULL;NULL;NULL;NULL;"sams-flooring-supplies-kelowna-kelowna";NULL
"33";"Sams Flooring Supplies Langley";"not available";"#8 20701 Langley Bypass";"Langley";"BC";"V3A 5E8";"38";"49.1132391";"-122.6490234";"604-530-2949";;;"https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-langley/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:33:50";"0";NULL;NULL;NULL;NULL;"sams-flooring-supplies-langley-langley";NULL
"34";"Sams Flooring Supplies Surrey";"not available";"#227 12448 82nd Ave. ";"Surrey";"BC";"V3W 2E9";"38";"49.1510416";"-122.8778542";"604-594-9888";;;"https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-surrey/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-01-18 18:59:12";"0";NULL;NULL;NULL;NULL;"sams-flooring-supplies-surrey-surrey";NULL
"35";"Sams Flooring Supplies Vernon";"not available";"#2 4601 23rd St.";"Vernon";"BC";"V1T 4K7";"38";"50.2788269";"-119.2609731";"250-260-7075";;;"https://www.hydroblok.com/find-a-dealer/sams-flooring-supplies-vernon/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:36:20";"0";NULL;NULL;NULL;NULL;"sams-flooring-supplies-vernon-vernon";NULL
"36";"Seattle Glass Block";"not available";"6029 238th Street SE";"Woodinville";"WA";"98072";"223";"47.7828373";"-122.1528561";"425-483-9977";;;"https://www.hydroblok.com/find-a-dealer/seattle-glass-block/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:45:15";"0";NULL;NULL;NULL;NULL;"seattle-glass-block-woodinville";NULL
"37";"Sierra Glass Block";"not available";"8230 Belvedere Ave., Ste. E";"Sacramento";"CA";"95826";"223";"38.5375525";"-121.4026111";"916-455-5507";;;"https://www.hydroblok.com/find-a-dealer/sierra-glass-block/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:57:26";"0";NULL;NULL;NULL;NULL;"sierra-glass-block-sacramento";NULL
"39";"Tile for Less Bothell";"not available";"19400 Bothell Everett Hwy";"Bothell";"WA";"98012";"223";"47.82146400000001";"-122.2079403";"425-415-6600";;;"https://www.hydroblok.com/find-a-dealer/tile-for-less-bothell/";;"0";"1";"1";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2023-11-17 16:22:55";"0";NULL;NULL;NULL;NULL;"tile-for-less-bothell-bothell";NULL
"40";"Tile for Less Seattle";"not available";"2440 First Ave. S";"Seattle";"WA";"98134";"223";"47.5806688";"-122.3338905";"(206) 489-4504";;"seattle@tileforlessnw.com";"https://tileforlessnw.com/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2023-11-17 16:27:13";"0";NULL;NULL;NULL;NULL;"tile-for-less-seattle-seattle";NULL
"41";"Tile for Less Spokane Valley";"not available";"5414 E. Sprague";"Spokane Valley";"WA";"99212";"223";"47.6565486";"-117.3316352";"509.315.5176";;;"https://www.hydroblok.com/find-a-dealer/tile-for-less-spokane-valley/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-21 03:33:22";"0";NULL;NULL;NULL;NULL;"tile-for-less-spokane-valley-spokane-valley";NULL
"42";"Tile Lines";"not available";"1531 Central Ave S";"Kent";"WA";"98108";"223";"47.3656915";"-122.2303324";"253-872-0449";;;"https://www.hydroblok.com/find-a-dealer/tile-lines/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:49:11";"0";NULL;NULL;NULL;NULL;"tile-lines-kent";NULL
"43";"United Tile Portland";"not available";"3145 NW Yean Ave.";"Portland";"OR";"97210";"223";"45.5435502";"-122.7021864";"503-231-4959";;;"https://www.hydroblok.com/find-a-dealer/united-tile-portland/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:50:44";"0";NULL;NULL;NULL;NULL;"united-tile-portland-portland";NULL
"44";"United Tile Seattle";"not available";"750 S. Michigan Street";"Seattle";"WA";"98108";"223";"47.5473355";"-122.3242706";"425-251-5290";;;"https://www.hydroblok.com/find-a-dealer/united-tile-seattle/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:48:03";"0";NULL;NULL;NULL;NULL;"united-tile-seattle-seattle";NULL
"45";"United Tile Spokane";"not available";"622 East Second";"Spokane";"WA";"99202";"223";"47.6543488";"-117.4010589";"509-466-4478";;;"https://www.hydroblok.com/find-a-dealer/united-tile-spokane/";;"0";"1";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-21 03:30:06";"0";NULL;NULL;NULL;NULL;"united-tile-spokane-spokane";NULL
"46";"BASSANO BUILDING CENTER (TIMBER MART)";"not available";"417 - 11th Street Box 368";"Bassano";"AB";"T0J 0B0";"38";"50.7894791";"-112.4686447";"403-641-4000";;"bassbuilding@eidnet.org";"https://www.timbermart.ca/en/stores/bassano-building-center-ltd";;"0";"0";"1";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-01-07 04:24:40";"0";NULL;NULL;NULL;NULL;"bassano-building-center-timber-mart-bassano";NULL
"60";"Heart Mountain Home";"not available";"1659 E Main St";"Freeland";"WA";"98249";"223";"48.0098553";"-122.525418";"360-221-1124";;;"https://www.hydroblok.com/find-a-dealer/heart-mountain-home/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2023-05-26 01:52:55";"0";NULL;NULL;NULL;NULL;"heart-mountain-home-freeland";NULL
"61";"Daltile Anaheim ";"not available";"1600 S. Page St.";"Anaheim";"CA";"92806";"223";"33.8080491";"-117.8863593";"714.634.2546";;;"https://www.hydroblok.com/find-a-dealer/daltile-anaheim/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 05:06:05";"0";NULL;NULL;NULL;NULL;"daltile-anaheim-anaheim";NULL
"62";"Daltile Sacramento";;"9971 Horn Road";"Sacramento";"CA";"95827";"223";"38.57789560000001";"-121.3224925";"(916) 364-0741";;;"https://www.hydroblok.com/find-a-dealer/daltile-sacramento/";;"0";"0";"0";"{""mon"":[""07:00 AM - 04:00 PM""],""tue"":[""07:00 AM - 04:00 PM""],""wed"":[""07:00 AM - 04:00 PM""],""thu"":[""07:00 AM - 04:00 PM""],""fri"":[""07:00 AM - 04:00 PM""],""sat"":[""09:00 AM - 02:00 PM""],""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:55:49";"0";NULL;NULL;NULL;NULL;"daltile-sacramento-sacramento";NULL
"63";"American Olean / Marazzi Tile & Stone";"not available";"1955 Davis St";"San Leandro";"CA";"94577";"223";"37.7134819";"-122.1817556";"510-394-9800";;;"https://www.hydroblok.com/find-a-dealer/american-olean-marazzi-tile-stone-2/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 05:01:34";"0";NULL;NULL;NULL;NULL;"american-olean-marazzi-tile-stone-san-leandro";NULL
"64";"American Olean / Marazzi Tile & Stone";"not available";"4935 Southfront Rd";"Livermore";"CA";"94551";"223";"37.7002343";"-121.7393158";"925-449-0338";;;"https://www.hydroblok.com/find-a-dealer/american-olean-marazzi-tile-stone/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 05:01:04";"0";NULL;NULL;NULL;NULL;"american-olean-marazzi-tile-stone-livermore";NULL
"65";"Esta Aqui Tile";"not available";"2124 Grant Street";"Bellingham";"WA";"98226";"223";"48.7585071";"-122.4688015";"(360) 734-7374";;;"https://www.hydroblok.com/find-a-dealer/Esta-Aqui-tile/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:39:40";"0";NULL;NULL;NULL;NULL;"esta-aqui-tile-bellingham";NULL
"66";"Daltile Boise";"not available";"11510 West Executive Drive";"Boise";"ID";"83713";"223";"43.6098803";"-116.3264848";"(208) 375-4466";;;"https://www.hydroblok.com/find-a-dealer/daltile-boise/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-21 03:12:48";"0";NULL;NULL;NULL;NULL;"daltile-boise-boise";NULL
"67";"Emser Tile Boise";"not available";"12050 West Franklin Road";"Boise";"ID";"83709";"223";"43.6049343";"-116.3142382";"(208) 375-2020";;;"https://www.hydroblok.com/find-a-dealer/emser-tile-boise/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-21 03:10:29";"0";NULL;NULL;NULL;NULL;"emser-tile-boise-boise";NULL
"68";"American Olean / Marazzi Phoenix";"not available";"2115 S 11th Ave Suite 170";"Phoenix";"AZ";"85007";"223";"33.4285151";"-112.0854559";"(602) 252-5357";;;"https://www.hydroblok.com/find-a-dealer/american-olean-marazzi-phoenix/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 22:27:43";"0";NULL;NULL;NULL;NULL;"american-olean-marazzi-phoenix-phoenix";NULL
"69";"American Olean / Marazzi Denver";"not available";"12435 E 42nd Ave Unit 10";"Denver";"CO";"80239";"223";"39.7757418";"-104.8440938";"(303) 375-8253";;;"https://www.hydroblok.com/find-a-dealer/daltile-american-olean-marazzi-sales-service-center/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 05:09:14";"0";NULL;NULL;NULL;NULL;"american-olean-marazzi-denver-denver";NULL
"70";"American Olean / Marazzi Salt Lake City";"not available";"2922 South 300 West";"Salt Lake City";"UT";"84115";"223";"40.7071115";"-111.9004992";"(801) 466-9736";;;"https://www.hydroblok.com/find-a-dealer/american-olean-marazzi-salt-lake-city/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 22:33:59";"0";NULL;NULL;NULL;NULL;"american-olean-marazzi-salt-lake-city-salt-lake-city";NULL
"71";"American Olean / Marazzi Anaheim";"not available";"1340 S State College Blvd.";"Anaheim";"CA";"92806";"223";"33.8140353";"-117.8881904";"(714) 956-7565";;;"https://www.hydroblok.com/find-a-dealer/american-olean-marazzi-anaheim/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 05:04:22";"0";NULL;NULL;NULL;NULL;"american-olean-marazzi-anaheim-anaheim";NULL
"72";"Dal Tile Fairfield CA";;"2350 S Watney Way, Suite A";"Fairfield";"CA";"94533";"223";"38.2340894";"-122.0729948";"(707) 429-4592";;;"https://www.hydroblok.com/find-a-dealer/daltile-fairfield-ca/";;"0";"0";"0";"{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-19 04:55:11";"0";NULL;NULL;NULL;NULL;"dal-tile-fairfield-ca-fairfield";NULL
"73";"SariSand Tile";;"685 Rio Road West";"Charlottesville";"VA";"22901";"223";"38.0841935";"-78.47706769999999";"434-964-4680";;;"https://www.hydroblok.com/find-a-dealer/sarisand-tile/";;"0";"0";"0";"{""mon"":[""09:00 AM - 04:00 PM""],""tue"":[""09:00 AM - 04:00 PM""],""wed"":[""09:00 AM - 04:00 PM""],""thu"":[""09:00 AM - 04:00 PM""],""fri"":[""09:00 AM - 04:00 PM""],""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2024-05-02 13:55:19";"0";NULL;NULL;NULL;NULL;"sarisand-tile-charlottesville";NULL
"75";"Daltile Honolulu";;"1200 N Nimitz Hwy";"Honolulu";"HI";"96817";"223";"21.3199084";"-157.8764463";"(808) 523-3660";;;"https://www.hydroblok.com/find-a-dealer/daltile-honolulu/";;"0";"0";"0";"{""mon"":[""07:00 AM - 05:00 PM""],""tue"":[""07:00 AM - 05:00 PM""],""wed"":[""07:00 AM - 05:00 PM""],""thu"":[""07:00 AM - 05:00 PM""],""fri"":[""07:00 AM - 05:00 PM""],""sat"":""0"",""sun"":""0""}";"2020-11-04 17:02:34";"2022-02-21 20:13:58";"0";NULL;NULL;NULL;NULL;"daltile-honolulu-honolulu";NULL
