"title","address","phone","email"
"Canada Flooring Enterprises Ltd. ","9049 Quartz Road, Whitehorse, YT Y1A 4Z5","(867) 667-7290",""
"G&J Design Flooring","1295 Hwy 97 N, Quesnel, BC V2J 2Y5","250-992-2272",""
"The Tile Guy Flooring LTD. ","4413-29th Street, Vernon, BC V1T 5B7","250-545-8453",""
"Southwest Flooring & Supply ","1102 Chief Mountain Ave, Bay 100/200, Pincher Creek, AB T0K 1W0","(403) 308-7050",""
"The Flooring Hub","5137-26th Street, Vernon, BC V1T 8G4","(778) 475-7700",""
"Pacific Coast Floor Coverings Inc. ","2374 Millstream Rd., Victoria, BC V9B 3R3","(250) 474-0411",""
"Prodigy Interiors Inc. ","191 Eversyde Circle SW, Calgary, AB T2Y 4T4","403-589-4419",""
"Contemporary Bathrooms C/O Rosedale","5620 68 Avenue Southeast Bay 2, Calgary, AB T2C 5L1","(403) 291-2200",""
"Tileworks & Frontier Irrigation ","1702 2 Ave S, Lethbridge, AB T1J 0G3","403-328-6197",""
"Best Tile & Wood II Inc","69 State Rt. 31,, Flemigton, NJ 08822","(908) 782-6707",""
"Buffalo Glass Block","520 Hinman Ave, Buffalo, NY 14216"," (716) 873-3553",""
"Coast Tile and Marble","3168 Fire Rd, Egg Harbor Township, NJ 08234","(609) 646-9346",""
"Daltile Allentown","904 Marcon Blvd, Allentown, PA 18109","(610) 266-6688",""
"Daltile Baton Rouge","12037 Airline Hwy, Baton Rouge, LA 70817","(225) 751-3194",""
"Daltile Daytona","703 Samms Ave Ste C, Port Orange, FL 32129","(386) 767-9561",""
"Daltile Fayetteville","373-A Agnes Dr, Tontitown, AR 72762","(479) 361-5825",""
"Daltile Jacksonville","9446 Philips Hwy, Jacksonville, FL 32256","904-262-0444",""
"Daltile Salisbury","2257 Northwood Dr Suite A, SALISBURY, MD 21801","(410) 546-1015",""
"Daltile Mechanicsburg","4750 WESTPORT DR STE 100, MECHANICSBURG, PA 17055","(717) 795-0154",""
"Daltile Pittsburgh","104 Parkway View Dr, Pittsburgh, PA 15205","(412) 787-2040",""
"Daltile Sarasota ","7450 26th Court East Unit 112, Sarasota, FL 34243","(941) 355-2954",""
"Daltile Springfield","2710 S Austin Ave, Springfield, MO 65807","(417) 883-4600",""
"Emser Tile -  Los Angeles","8431 Santa Monica Blvd, Los Angeles, CA 90069","(502) 962-7255",""
"Five Star Bath Solutions","6008 E 1245 Mile Road, Warren, MI 48092","",""
"Hunt Valley Tile & Stone","11110 Pepper Rd Suite D, Hunt Valley, MD 21031","(410)-771-6441",""
"Natural Stone and Tile","8875 Bash St, Indianapolis, IN 46256","(317) 863-5926",""
"Minnesota Tile & Stone - Lakeville","17615 Kenrick Ave., Lakeville, MN 55044","(952) 898-1960",""
"Minnesota Tile & Stone - Plymouth","1797 Xenium Ln N, Plymouth, MN 55441","(763) 233-7060",""
"Minnesota Tile & Stone - Woodbury","9703 Hudson Rd, Woodbury, MN 55125","(651) 730-0447",""
"Minnesota Tile & Stone - Minnetonka","6001 Culligan Way, Minnetonka, MN 55345","(952) 345-9425",""
"Tool Republic","2310 St. Laurent Blvd, Unit 305,, Ottawa, ON K1G 5H9","(613) 523-5555",""
"Village Tile","6306 Main St, Stouffville, ON L4A 1G8","(905) 591-8453",""
"Sage Kitchen & Bath"," 12 Bram Court, Unit 9, Brampton, ON L6W 3R6","(647)280-6917","info@SageKitchenandBath.ca"
"Daltile West Atlanta","3021 Olympic Industrial Dr SE # 100, Atlanta, GA 30339","(404) 355-3180",""
"Daltile Charlotte","405 Forsyth Hall Drive, Charlotte , NC 28273","(704) 588-0153",""
"Daltile Fayetteville","1211 Ireland Dr. Ste # 14, Fayetteville, NC 28304","(910) 323-3004",""
"Daltile North Little Rock","9460 Maumelle Blvd. , North Little Rock, AR 72113","(501) 812-4800",""
"Daltile Baton Rouge","12037 Airline Hwy, Baton Rouge , LA 70816","(225) 751-3194",""
"Daltile Ridgeland","108 East State St., Ridgeland, MS 39157","(601) 853-2714",""
"Daltile Springfield","2710 S. Austin St., Springfield, MO 65807","(417) 883-4600",""
"Daltile Farmington Hills","24640 Drake Rd., Farmington Hills, MI 48335","(248) 471-7150",""
"Daltile Mechanicsburg","4750 Westport Drive Ste # 100, Mechanicsburg, PA 17055","(717) 795-0154",""
"Daltile Allentown","904 Marcon Blvd. , Allentown, PA 18109","(610) 266-6688",""
"Daltile Dayton","181 Herrod Blvd. Ste # 12, Dayton, NJ 08810","(609) 409-7687",""
"Daltile Port Orange","703 Samms Ave Ste C , Port Orange, FL 32129","(386) 767-9561",""
"Daltile Jacksonville","9446 Philips Hwy Ste 10, Jacksonville, FL 32256","(904) 262-0444",""
"Daltile Miramar Beach","195 Business Centre Dr. , Miramar Beach, FL 32550","(850) 837-5508",""
"Daltile Naples","2900 Horseshoe Dr., South Suite 700, Naples, FL 34104","(239) 643-1823",""
"Daltile Fort Wayne","6401 Cross Creek Blvd, Fort Wayne, IN 46818","(260)489-8799",""
"BuildMyPlace","2900 Fern Valley Rd, Louisville, KY 40213","(740) 697-5223",""
"Daltile Mesquite","4400 US HWY 80 E, STE 140, Mesquite, TX 75149","(972) 613-4711",""
"Daltile Carrollton","1705 Wallace Drive, Suite 100, Carrollton, TX 75006","(972) 245-3185",""
"Daltile Fort Worth","3328 Fossil Creek BLVD, Fort Worth, TX 76137","(972) 489-7073",""
"Daltile San Antonio","1119 Arion Pkwy, San Antonio, TX 78216","(210) 403-0298",""
"Daltile Arlington","2500 E Mayfield Rd ,Ste 300, Arlington, TX 76014","(817) 784-3853",""
"Daltile Plano","1300 E Plano Pkwy A, Plano, TX 75074","(972) 578-1600",""
"Standard Paint and Flooring","130 S 72nd Ave, Yakima, WA 98908","(509) 972-7620",""
"Daltile Charleston","2261 Technical Pkwy Ste B, Charleston, SC 29406","(509) 972-7620",""
"SVC Interiors & Design Inc - Bellingham","1701 Ellis St, STE 107, Bellingham, WA 98225","(360) 676-6036",""
"Custom Touch Interiors","13029 NE 20th St, Bellevue, WA 98005","(425) 883-0555",""
"Standard Paint & Flooring, L.L.C. - Yakima","409 W Yakima Ave, Yakima, WA 98902","(509) 453-3171",""
"Ceramic Tile Supply NW","1620 W 7th Ave, Eugene, OR 97402","541-343-0449",""
"Color Tile of Medford","3069 Crater Lake Ave, Medford,  OR 97504","(541) 776-3220",""
"Carpet One Floor & Home","1606 N Portland St, La Grande,  OR 97850","(541) 963-6033",""
"Southeastern Tile Connection Wilmington","2101 Capital Drive, Wilmington, NC 28405","(910) 799-5565","info@setileconnection.com"
"Southeastern Tile Connection Durham","3738 Durham-Chapel Hill Blvd,. Unit D, Durham, NC 27707","(919) 237-9845","info@setileconnection.com"
"Sunsai Tile and Surfaces","1510 Drew Rd #14,, Mississauga, ON L5S 1W7","+1 647-407-1191",""
"ATS Supply Ltd.","13451 Doole Road, Ladysmith, BC V9G 1G6","250-661-6794","atssupplyltd@gmail.com"
"Daltile Myrtle Beach","1330 17th Ave S, Myrtle Beach, SC 29577","(843) 839-0033",""
"Daltile San Rafael","25 Pelican Way, San Rafael, CA 94901","(415)454-8610",""
"EMCO Guelph","65 Dawson Rd #1, Guelph, ON N1H 1B1","(519)822-9160",""
" Premier Surface & Supply LLC","12971 Eaton St, Detroit, MI 48227","(313) 659-6115",""
"ProSource of Seattle","21312 30th Dr SE Suite B-107, Bothell, WA 98021","425-487-4343 ext. 100",""
"East Coast Granite & Tile","3042 E Chestnut Expy,, Springfield, MO 65802","417-423-7722",""
" Curran Design Center","1609 N State Highway CC, Nixa, MO 65714","417-724-1018",""
"Lakeside Renovations & Design","139 Chesterfield Industrial Blvd, Chesterfield, MO 63005","636-978-5000",""
"Carpet One Floor & Home","105 Business Loop 70 E,, Columbia, MO 65203","(573) 303-5680",""
"Homestar Design Remodel","13014 Manchester Rd, Suite C, Saint Louis, MO 63131","(314) 328-8200",""
" The Tile House, Whitby, ON","1400 Victoria Street East, Unit 3, Whitby, ON L1N 0M2","(905) 668-2434",""
"Mees Distributors, Inc.","1541 West Fork Rd, Cincinnati, OH 45223","513-541-2311","jmassengale@meesdistributors.com"
"Alpha Tile & Stone - Tampa","2443 East Meadow BLVD, Tampa, FL 33619","813-620-9000","tony@alphatile.com"
"Alpha Tile & Stone - Sarasota","1808 Whitfield Avenue, Sarasota, FL 34243","941-727-7433","mikem@alphatile.com"
"Alpha Tile & Stone - Ft. Myers","10898 Metro Pkwy, Suite A, Ft. Myers, FL 33966","239-275-8288","lynn@alphatile.com"
"M2 Tile & Stone + Slabs","26 Dufflaw Rd, Toronto, ON M6A 2W1","416-850-1045","christine@m2tilestone.com"
"Maris Home Improvements","208 Chesterfield Industrial Blvd., Chesterfield, MO 63005","(636) 948-6004",""
"Global Stone LLC ","421 N Rawhide, Olathe, KS 66061","(913) 764-9400",""
"Global Stone LLC "," 7613 NW. Prairie View Rd, Kansas City, MO 64151","(816)656-5111",""
"Millenium Slate LLC","2027 County Rt 23, Middle Granville, NY 12849","855-677-6257","info@mslate.rocks"
"Cabinet Design Studio","146th & Industrial Road, Omaha, NE 68144","(531) 301-9550","info@cabinetsomaha.com"
"M2 Tile & Stone + Slabs","26 Dufflaw Rd, Toronto, ON M6A 2W1","416-850-1045","info@m2tilestone.com"
"Daltile Cranberry - Pittsburgh North","220 Executive Dr. Ste 100-200, Cranberry Twp, PA 16066","(724) 776-2311","mark.mckinnis@daltile.com"
" BT Bath Inc.","35 Gotha St, Trenton, Ontario K8V 6C9","416-986-5051",""
"Daltile New Orleans","700 Elmwood pkwy. suite B, New Orleans, LA 70123","(504) 818-0118",""
"Daltile New Orleans","700 Elmwood pkwy. suite B, New Orleans, LA 70123","(504) 818-0118",""
"MB Services","2101 Baldwin Ave Suite 1, Crofton, Maryland 21114","(443) 590-5048",""
"Iron Mountain Stone & Tile",", Concord, NC 28025","980-253-3451 ","ironmountainstone@gmail.com"
"ProSource Of Acadiana","321 E. Verot School Road, Lafayette, LA 70508","337-205-3606",""
"ProSource Of Mobile","1558 West Interstate 65 Service Rd S, Mobile, AL 36693","(251) 202-3670",""
"ProSource of Baton Rouge","10848 Airline Hwy, Baton Rouge, LA 70809","(225) 230-4626",""
"ProSource of New Orleans","1525 Edwards Ave, Harahan, LA 70123"," (504) 291-3904",""
"ProSource of Gonzales","2325 S Commerce Ave, Gonzales, LA 70737","(225) 230-4625",""
"ProSource of Jackson","6370 Cole Rd, Ridgeland, MS 39157","(601) 255-2877",""
"ProSource of Mandeville","13464 Seymour Myers Dr., Covington, LA 70433","(985) 206-8619",""
"Floor Surplus","1683 O'Neal Ln, Baton Rouge, LA 70816","(225) 372-3645",""
"Smith & Purvis Carpet One","1905 N Morrison Blvd, Hammond, LA 70401","(985) 878-5085",""
"Menzie Stone","16575 Commercial Ave, Baton Rouge, LA 70816","(225) 275-7819",""
"Menzie Flooring & Stone Nola","1525 Edwards Ave, Harahan, LA 70816","504-733-3070",""
"Menzie Production Builders ","16575 Commercial Ave Bldg. 2 2nd Floor, Baton Rouge, LA 70816 ","225-275-7819",""
"PS Distribution","16575 Commercial Ave Bldg. 3, Baton Rouge, LA 70816 ","225-774-8686",""
"Tile For Less - Federal Way ","1610 S 344th ST , Federal Way , WA 98003","(253) 878-5224","federalway@tileforlessnw.com"
"Contract Furnishings Mart - North Seattle","953 N 128th ST, Seattle, WA 98133","(206) 805-2709","dom.berryhill@cfmfloors.com"
"Contract Furnishings Mart - Everett","802 134th St SW #160, Everett , WA 98204","(425) 329-1330","ashley.whitworth@cfmfloors.com"
"Contract Furnishings Mart - Fife","3600 Industry Dr E , Fife, WA 98424","(253) 922-4648","sam.gallagher@cfmfloors.com"
"Contract Furnishings Mart - Kent","22230 84th Ave S, Kent, WA 98032","(253) 234-2040","david.halingstad@cfmfloors.com"
"Contract Furnishings Mart - Lacey","8719 Commerce Pl Dr NE , Lacey, WA 98516","(206) 480-0950","michelle.baduria@cfmfloors.com"
"Contract Furnishings Mart - Redmond","14920 NE 95th ST Suite A, Redmond, WA 98052","(425) 861-7589","jeri.martin@cfmfloors.com"
"Contract Furnishings Mart - Seattle","500 S Brandon ST, Seattle , WA 98108","(206) 763-4500","jed.kittell@cfmfloors.com"
"Contract Furnishings Mart - Tacoma","6305 6th Ave , Tacoma, WA 98406","(253) 284-0020","tom.quinlan@cfmfloors.com"
"Mat Valley Tile & Stone (Anchorage)","661 E 48th Ave, Anchorage, AK 99503","(907) 644-8453","sales@matvalleytile.com"
"Mat Valley Tile & Stone (Wasilla)","3770 E Steven Dr, Wasilla, AK 99654","(907) 357-8484","sales@matvalleytile.com"
"Contemporary Bathrooms","1235 40 Ave NE, Calgary, AB T2E 6M9","(403) 291-2200","info@contemporarybath.ca"
"Home Hardware Penticton","150 Fairview Place, Penticton, British Columbia V2A 6A5","(250) 493-1233","customerservice@pentictonhhbc.com"
"Golden Valley Tile and Stone","202 NE 1P Road, Clinton, MO 64735","660.351.6230",""
"Metex Supply Co, Regina","Unit 12 ?309 Adolph Drive, Regina, SK S4N5S5","(306) 530-8012","metexregina@gmail.com"
"EMCO Corporation","1000 Last Mile Drive, Unit 1, Ottawa, ON K1G 6Y1","613-824-6091","afortin@emcoltd.com"
"Standard Paint and Flooring","610 S Main Street, Ellensburg, WA 98926","(509) 962-2551","j.jenkins@standardpaintandflooring.com"
"Ziggy? Home Improvement (Spokane)","620 E Holland Ave, Spokane, WA 99218","(509) 467-4958",""
"Ziggy? Home Improvement (Lewiston)","1109 Warner Ave, Lewiston, ID 83501","(208) 743-6900",""
"Ziggy? Home Improvement (Post Falls)","2121 N Highway 41, Post Falls, ID 83854","(208) 777-1955",""
"Housing Interiors of Mid Missouri llc"," 5307 E St Charles Rd, Columbia, OH 65201","(573) 474-9695","HOUSINGINTERIORSLLC@GMAIL.COM"
"McLean Floorcoverings","4391 W. US Highway 421, Wilkesboro, NC 28697","(336) 568-0804",""
"Accent Floor Coverings","4614 N HWY 763, Columbia, OH 65202","(573) 874-2832",""
"Daltile Lenexa","15380 W. 101st Terrace, Lenexa, KS 66219","913-599-2987","KansasCity.SSC106@Daltile.com"
"Tile This","1436 Cliff Road E, Burnsville, MN 55337","(952) 882-0436 ","Sales@TileThis.com"
"Paul Davis of Polk County","3306 Waterfield Rd, Lakeland, FL 33803","+1 863-644-7373",""
"Flooring Outlet Center","5310 South Florida Avenue, Lakeland, FL 33813","+1 863-644-9935",""
"Floors 4 Pro's","2108 Whitfield Park Loop, Sarasota, FL 34243","+1 941-666-8640",""
"Prosource Wichita","535 S Emerson St,, Wichita, KS 67209","(316) 223-7860",""
"Goodlife Home Renovations","2541 W College Rd, Springfield, MO 65802","+14175015994",""
"Maline Tile  - Massachusettes","20 Reservoir Park Drive, Rockland, MA 02370","781.792.1780","SalesMA@maline.com"
"Maline Tile  - New Jersey","2 Doig Road, Wayne, NJ 07470","973.835.0244","SalesNJ@maline.com"
"Emco Kitchener","500 Trillium Drive, Units 3-5, Kitchener, Ontario N2R 1A7","519-894-7000","SalesNJ@maline.com"
"The Tile House, Pickering, ON","1095 Kingston Rd #3, Pickering, ON L1V 1B5","(905) 839-1434",""
"EMCO Peterborough","774 Rye St, #11, Peterborough, ON K9J 6W9","(705) 742-4251",""
"The Ensuite Winnipeg","1199 St James St, Winnipeg, MB R3K 0K8","(204)925-8466","customerservice@theensuite.ca"
" EMCO Western Supplies","1199 St James St, Winnipeg, MB R3K 0K8","(204)925-8711","605cust@emcoltd.com"
"Remarkable Concept","1550 NE Riddell Rd, STE 10, Bremerton, WA 98310","(204)925-8711","inforemarkableconcept@gmail.com"
"Idaho Floors","1905 19th Avenue, Lewiston, Idaho 83501","(208) 743-0327","info@idahofloors.net"
"Accent Flooring","4614 N HGWY 763, Columbia, MO 65202","573-874-2832",""
